board	pagetype	slug	timestamp	length	original_url
forum	index.php	index	20070422115618	5199	http://www.theavalanches.com:80/forum/index.php?sid=86ae49f27da7e705fa894fc62789b7d9
forum	index.php	index	20070624115728	5215	http://www.theavalanches.com:80/forum/index.php?c=1&sid=9c4535f6cf53d0836f2db323862b1462
forum	index.php	index	20070626072050	5214	http://www.theavalanches.com:80/forum/index.php?sid=89b8504340cd1de182a83fd6bc4270a5
forum	index.php	index	20070720083235	5145	http://www.theavalanches.com/forum/index.php?sid=6a520878e7d002fabc98a3d8db07706c
forum	index.php	index	20070720083358	5144	http://www.theavalanches.com/forum/index.php?c=1&sid=6a520878e7d002fabc98a3d8db07706c
forum	index.php	index	20070819231148	5231	http://www.theavalanches.com:80/forum/index.php?c=1&sid=69c97d525ac28d710210a50257c7ae52
forum	index.php	index	20071017023259	5026	http://www.theavalanches.com:80/forum/index.php
forum	index.php	index	20071017072026	5055	http://theavalanches.com:80/forum/index.php?c=1
forum	index.php	index	20071017072031	5060	http://theavalanches.com:80/forum/index.php?c=1&sid=
forum	index.php	index	20071123195313	5028	http://www.theavalanches.com:80/forum/index.php
forum	index.php	index	20071217223559	5221	http://www.theavalanches.com:80/forum/index.php?c=1&sid=1bcd27c0308c44ae81a7fcb904d73955
forum	index.php	index	20071224022024	5190	http://www.theavalanches.com:80/forum/index.php
forum	index.php	index	20071224022029	5031	http://www.theavalanches.com:80/forum/index.php?
forum	index.php	index	20080123141602	5037	http://www.theavalanches.com:80/forum/index.php?
forum	index.php	index	20080221214957	5243	http://www.theavalanches.com:80/forum/index.php?c=1&sid=081090ade0cab68d0b33e82e057bf7cc
forum	index.php	index	20080223064327	5196	http://www.theavalanches.com:80/forum/index.php
forum	index.php	index	20080325025058	5185	http://www.theavalanches.com:80/forum/index.php
forum	index.php	index	20080325025242	5182	http://www.theavalanches.com:80/forum/index.php?
forum	index.php	index	20080424093333	5019	http://www.theavalanches.com:80/forum/index.php
forum	index.php	index	20080524225510	5193	http://www.theavalanches.com:80/forum/index.php
forum	index.php	index	20080524225515	5033	http://www.theavalanches.com:80/forum/index.php?
forum	index.php	index	20080928035552	5159	http://www.theavalanches.com:80/forum/index.php
forum	index.php	index	20080928042230	5191	http://www.theavalanches.com:80/forum/index.php?
